"long","lat","StrokesRemaining","Round","Number","NewBoundary","PlayerLastName"
-81.3949017441468,30.2034482061915,NA,NA,NA,"Fairway",NA
-81.3949001608136,30.2034482109601,NA,NA,NA,"Green",NA
-81.3948985774805,30.2034482157287,NA,NA,NA,"Green",NA
-81.3948969941473,30.2034482204973,NA,NA,NA,"Green",NA
-81.3948954108141,30.2034482252658,NA,NA,NA,"Green",NA
-81.394893827481,30.2034482300344,NA,NA,NA,"Green",NA
-81.3948922441478,30.2034482348029,NA,NA,NA,"Green",NA
-81.3948906608147,30.2034482395714,NA,NA,NA,"Green",NA
-81.3948890774815,30.2034482443399,NA,NA,NA,"Green",NA
-81.3948874941483,30.2034482491083,NA,NA,NA,"Green",NA
-81.3948859108152,30.2034482538768,NA,NA,NA,"Green",NA
-81.394884327482,30.2034482586452,NA,NA,NA,"Green",NA
-81.3948827441488,30.2034482634136,NA,NA,NA,"Green",NA
-81.3948811608157,30.203448268182,NA,NA,NA,"Green",NA
-81.3948795774825,30.2034482729504,NA,NA,NA,"Green",NA
-81.3948779941493,30.2034482777187,NA,NA,NA,"Green",NA
-81.3948764108162,30.203448282487,NA,NA,NA,"Green",NA
-81.394874827483,30.2034482872553,NA,NA,NA,"Green",NA
-81.3949096663028,30.2034495576234,NA,NA,NA,"Fairway",NA
-81.3949080829696,30.2034495623921,NA,NA,NA,"Green",NA
-81.3949064996364,30.2034495671608,NA,NA,NA,"Fairway",NA
-81.3949049163032,30.2034495719295,2,2,992,"Fairway","Mullinax"
-81.39490333297,30.2034495766981,NA,NA,NA,"Fairway",NA
-81.3949017496368,30.2034495814668,NA,NA,NA,"Green",NA
-81.3949001663037,30.2034495862354,NA,NA,NA,"Green",NA
-81.3948985829705,30.203449591004,NA,NA,NA,"Green",NA
-81.3948969996373,30.2034495957726,NA,NA,NA,"Green",NA
-81.3948954163041,30.2034496005411,NA,NA,NA,"Green",NA
-81.3948938329709,30.2034496053097,NA,NA,NA,"Green",NA
-81.3948922496377,30.2034496100782,NA,NA,NA,"Green",NA
-81.3948906663045,30.2034496148467,NA,NA,NA,"Green",NA
-81.3948890829713,30.2034496196152,NA,NA,NA,"Green",NA
-81.3948874996382,30.2034496243836,NA,NA,NA,"Green",NA
-81.394885916305,30.2034496291521,NA,NA,NA,"Green",NA
-81.3948843329718,30.2034496339205,NA,NA,NA,"Green",NA
-81.3948827496386,30.2034496386889,NA,NA,NA,"Green",NA
-81.3948811663054,30.2034496434573,NA,NA,NA,"Green",NA
-81.3948795829722,30.2034496482256,NA,NA,NA,"Green",NA
-81.394877999639,30.203449652994,NA,NA,NA,"Green",NA
-81.3948764163058,30.2034496577623,NA,NA,NA,"Green",NA
-81.3948748329726,30.2034496625306,NA,NA,NA,"Green",NA
-81.3948732496395,30.2034496672989,NA,NA,NA,"Green",NA
-81.3948716663063,30.2034496720672,NA,NA,NA,"Green",NA
-81.3948700829731,30.2034496768354,NA,NA,NA,"Green",NA
-81.3948684996399,30.2034496816037,NA,NA,NA,"Green",NA
-81.3949175884589,30.2034509090549,NA,NA,NA,"Fairway",NA
-81.3949160051257,30.2034509138237,NA,NA,NA,"Green",NA
-81.3949144217925,30.2034509185925,NA,NA,NA,"Fairway",NA
-81.3949128384593,30.2034509233612,NA,NA,NA,"Fairway",NA
-81.3949112551261,30.20345092813,NA,NA,NA,"Green",NA
-81.3949096717929,30.2034509328987,NA,NA,NA,"Green",NA
-81.3949080884597,30.2034509376674,NA,NA,NA,"Green",NA
-81.3949065051265,30.2034509424361,NA,NA,NA,"Green",NA
-81.3949049217933,30.2034509472048,NA,NA,NA,"Fairway",NA
-81.3949033384601,30.2034509519734,NA,NA,NA,"Green",NA
-81.3949017551269,30.2034509567421,NA,NA,NA,"Green",NA
-81.3949001717937,30.2034509615107,NA,NA,NA,"Green",NA
-81.3948985884605,30.2034509662793,NA,NA,NA,"Green",NA
-81.3948970051273,30.2034509710478,NA,NA,NA,"Green",NA
-81.3948954217941,30.2034509758164,NA,NA,NA,"Green",NA
-81.3948938384608,30.2034509805849,NA,NA,NA,"Green",NA
-81.3948922551276,30.2034509853535,NA,NA,NA,"Green",NA
-81.3948906717944,30.203450990122,NA,NA,NA,"Green",NA
-81.3948890884612,30.2034509948904,NA,NA,NA,"Green",NA
-81.394887505128,30.2034509996589,NA,NA,NA,"Green",NA
-81.3948859217948,30.2034510044274,NA,NA,NA,"Green",NA
-81.3948843384616,30.2034510091958,NA,NA,NA,"Green",NA
-81.3948827551284,30.2034510139642,NA,NA,NA,"Green",NA
-81.3948811717952,30.2034510187326,NA,NA,NA,"Green",NA
-81.394879588462,30.2034510235009,NA,NA,NA,"Green",NA
-81.3948780051287,30.2034510282693,NA,NA,NA,"Green",NA
-81.3948764217955,30.2034510330376,NA,NA,NA,"Green",NA
-81.3948748384623,30.2034510378059,NA,NA,NA,"Green",NA
-81.3948732551291,30.2034510425742,NA,NA,NA,"Green",NA
-81.3948716717959,30.2034510473425,NA,NA,NA,"Green",NA
-81.3948700884627,30.2034510521107,NA,NA,NA,"Green",NA
-81.3948685051295,30.203451056879,NA,NA,NA,"Green",NA
-81.3948669217962,30.2034510616472,NA,NA,NA,"Green",NA
-81.394865338463,30.2034510664154,NA,NA,NA,"Green",NA
-81.3949223439489,30.2034522700236,NA,NA,NA,"Green",NA
-81.3949207606156,30.2034522747925,NA,NA,NA,"Fairway",NA
-81.3949191772824,30.2034522795613,NA,NA,NA,"Fairway",NA
-81.3949175939492,30.2034522843301,NA,NA,NA,"Fairway",NA
-81.394916010616,30.2034522890989,NA,NA,NA,"Green",NA
-81.3949144272828,30.2034522938677,NA,NA,NA,"Green",NA
-81.3949128439495,30.2034522986365,NA,NA,NA,"Green",NA
-81.3949112606163,30.2034523034052,NA,NA,NA,"Green",NA
-81.3949096772831,30.203452308174,NA,NA,NA,"Green",NA
-81.3949080939499,30.2034523129427,NA,NA,NA,"Green",NA
-81.3949065106166,30.2034523177114,NA,NA,NA,"Green",NA
-81.3949049272834,30.2034523224801,NA,NA,NA,"Green",NA
-81.3949033439502,30.2034523272487,NA,NA,NA,"Green",NA
-81.3949017606169,30.2034523320173,NA,NA,NA,"Green",NA
-81.3949001772837,30.203452336786,NA,NA,NA,"Green",NA
-81.3948985939505,30.2034523415546,NA,NA,NA,"Green",NA
-81.3948970106172,30.2034523463231,NA,NA,NA,"Fairway",NA
-81.394895427284,30.2034523510917,NA,NA,NA,"Fairway",NA
-81.3948938439508,30.2034523558602,NA,NA,NA,"Green",NA
-81.3948922606176,30.2034523606288,NA,NA,NA,"Green",NA
-81.3948906772843,30.2034523653973,NA,NA,NA,"Green",NA
-81.3948890939511,30.2034523701657,NA,NA,NA,"Green",NA
-81.3948875106179,30.2034523749342,NA,NA,NA,"Green",NA
-81.3948859272846,30.2034523797026,NA,NA,NA,"Green",NA
